index,EDGE_ID,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,SOURCE_FRAME,TARGET_FRAME
68,68,0,3523,3532,0,1
43,43,0,3532,3503,1,2
27,27,0,3503,3519,2,3
44,44,0,3519,3507,3,4
71,71,0,3507,3528,4,5
72,72,0,3528,3515,5,6
18,18,0,3515,3511,6,7
63,63,0,3511,3547,7,8
12,12,0,3547,3536,8,9
26,26,0,3547,3537,8,9
36,36,0,3537,3549,9,10
56,56,0,3536,3552,9,10
13,13,0,3552,3567,10,11
53,53,0,3549,3566,10,11
11,11,0,3567,3557,11,12
50,50,0,3566,3556,11,12
7,7,0,3556,3542,12,13
55,55,0,3557,3543,12,13
59,59,0,3542,3561,13,14
66,66,0,3543,3562,13,14
6,6,0,3562,3579,14,15
9,9,0,3561,3578,14,15
19,19,0,3579,3573,15,16
40,40,0,3578,3571,15,16
67,67,0,3578,3572,15,16
20,20,0,3571,3589,16,17
23,23,0,3573,3591,16,17
32,32,0,3572,3590,16,17
38,38,0,3591,3615,17,18
42,42,0,3590,3614,17,18
60,60,0,3589,3613,17,18
1,1,0,3614,3596,18,19
14,14,0,3613,3595,18,19
48,48,0,3615,3597,18,19
57,57,0,3595,3583,19,20
61,61,0,3597,3585,19,20
70,70,0,3596,3584,19,20
51,51,0,3585,3632,20,21
54,54,0,3583,3630,20,21
58,58,0,3584,3631,20,21
17,17,0,3632,3603,21,22
28,28,0,3631,3602,21,22
65,65,0,3630,3601,21,22
4,4,0,3603,3678,22,23
33,33,0,3601,3676,22,23
49,49,0,3602,3677,22,23
25,25,0,3677,3608,23,24
37,37,0,3676,3607,23,24
62,62,0,3678,3609,23,24
15,15,0,3609,3626,24,25
21,21,0,3608,3625,24,25
45,45,0,3607,3624,24,25
10,10,0,3626,3638,25,26
29,29,0,3624,3636,25,26
47,47,0,3625,3637,25,26
16,16,0,3636,3619,26,27
24,24,0,3638,3620,26,27
64,64,0,3637,3620,26,27
8,8,0,3620,3665,27,28
69,69,0,3619,3664,27,28
39,39,0,3664,3646,28,29
41,41,0,3665,3647,28,29
34,34,0,3647,3642,29,30
22,22,0,3642,3651,30,31
35,35,0,3651,3656,31,32
5,5,0,3656,3683,32,33
31,31,0,3683,3660,33,34
2,2,0,3660,3691,34,35
30,30,0,3691,3669,35,36
3,3,0,3669,3673,36,37
52,52,0,3673,3687,37,38
0,0,0,3687,3709,38,39
46,46,0,3709,3704,39,40
73,73,0,3704,3700,40,41
81,81,1,3524,3533,0,1
88,88,1,3533,3504,1,2
78,78,1,3504,3520,2,3
109,109,1,3520,3508,3,4
82,82,1,3508,3529,4,5
90,90,1,3529,3516,5,6
96,96,1,3516,3512,6,7
86,86,1,3512,3548,7,8
106,106,1,3548,3539,8,9
98,98,1,3539,3553,9,10
122,122,1,3553,3568,10,11
95,95,1,3568,3558,11,12
79,79,1,3558,3544,12,13
116,116,1,3544,3563,13,14
119,119,1,3563,3580,14,15
99,99,1,3580,3574,15,16
92,92,1,3574,3592,16,17
89,89,1,3592,3616,17,18
112,112,1,3616,3598,18,19
91,91,1,3598,3586,19,20
110,110,1,3586,3633,20,21
83,83,1,3633,3604,21,22
115,115,1,3604,3679,22,23
118,118,1,3679,3610,23,24
101,101,1,3610,3627,24,25
114,114,1,3627,3639,25,26
76,76,1,3639,3621,26,27
100,100,1,3621,3666,27,28
75,75,1,3666,3648,28,29
121,121,1,3648,3643,29,30
74,74,1,3643,3652,30,31
77,77,1,3652,3657,31,32
94,94,1,3657,3684,32,33
104,104,1,3684,3661,33,34
103,103,1,3661,3692,34,35
107,107,1,3692,3670,35,36
84,84,1,3670,3674,36,37
80,80,1,3674,3688,37,38
113,113,1,3688,3707,38,39
108,108,1,3707,3702,39,40
87,87,1,3702,3697,40,41
93,93,1,3697,3721,41,42
85,85,1,3721,3716,42,43
105,105,1,3716,3711,43,44
111,111,1,3711,3725,44,45
117,117,1,3725,3734,45,46
102,102,1,3734,3729,46,47
120,120,1,3729,3739,47,48
97,97,1,3739,3743,48,49
171,171,2,3525,3534,0,1
172,172,2,3526,3535,0,1
181,181,2,3535,3506,1,2
203,203,2,3534,3505,1,2
126,126,2,3506,3522,2,3
191,191,2,3505,3521,2,3
198,198,2,3521,3509,3,4
199,199,2,3522,3510,3,4
165,165,2,3509,3530,4,5
185,185,2,3510,3531,4,5
134,134,2,3531,3518,5,6
166,166,2,3530,3517,5,6
128,128,2,3517,3513,6,7
193,193,2,3518,3514,6,7
180,180,2,3514,3551,7,8
215,215,2,3513,3550,7,8
130,130,2,3550,3540,8,9
213,213,2,3551,3541,8,9
146,146,2,3541,3555,9,10
217,217,2,3540,3554,9,10
196,196,2,3554,3569,10,11
220,220,2,3555,3570,10,11
138,138,2,3570,3560,11,12
218,218,2,3569,3559,11,12
212,212,2,3560,3546,12,13
216,216,2,3559,3545,12,13
151,151,2,3545,3564,13,14
155,155,2,3546,3565,13,14
149,149,2,3565,3582,14,15
200,200,2,3564,3581,14,15
131,131,2,3581,3575,15,16
143,143,2,3582,3576,15,16
176,176,2,3576,3594,16,17
201,201,2,3575,3593,16,17
142,142,2,3594,3618,17,18
177,177,2,3593,3617,17,18
174,174,2,3617,3599,18,19
189,189,2,3618,3600,18,19
157,157,2,3600,3588,19,20
159,159,2,3599,3587,19,20
135,135,2,3588,3635,20,21
178,178,2,3587,3634,20,21
123,123,2,3634,3605,21,22
160,160,2,3635,3606,21,22
153,153,2,3605,3680,22,23
170,170,2,3606,3681,22,23
164,164,2,3680,3611,23,24
208,208,2,3681,3612,23,24
183,183,2,3612,3629,24,25
195,195,2,3611,3628,24,25
132,132,2,3628,3640,25,26
148,148,2,3629,3641,25,26
192,192,2,3640,3622,26,27
205,205,2,3641,3623,26,27
136,136,2,3622,3667,27,28
168,168,2,3623,3668,27,28
147,147,2,3667,3649,28,29
162,162,2,3668,3650,28,29
129,129,2,3650,3645,29,30
202,202,2,3649,3644,29,30
144,144,2,3645,3654,30,31
169,169,2,3644,3653,30,31
158,158,2,3653,3658,31,32
167,167,2,3654,3659,31,32
141,141,2,3658,3685,32,33
219,219,2,3659,3686,32,33
133,133,2,3686,3663,33,34
182,182,2,3685,3662,33,34
154,154,2,3662,3693,34,35
188,188,2,3663,3694,34,35
206,206,2,3693,3671,35,36
210,210,2,3694,3672,35,36
187,187,2,3672,3675,36,37
190,190,2,3671,3675,36,37
125,125,2,3675,3690,37,38
194,194,2,3675,3689,37,38
124,124,2,3689,3708,38,39
211,211,2,3690,3710,38,39
145,145,2,3710,3705,39,40
179,179,2,3708,3703,39,40
173,173,2,3703,3698,40,41
209,209,2,3705,3699,40,41
150,150,2,3699,3723,41,42
156,156,2,3698,3722,41,42
161,161,2,3722,3717,42,43
175,175,2,3723,3718,42,43
127,127,2,3717,3712,43,44
197,197,2,3718,3713,43,44
186,186,2,3713,3727,44,45
207,207,2,3712,3726,44,45
137,137,2,3727,3737,45,46
140,140,2,3726,3735,45,46
139,139,2,3735,3730,46,47
184,184,2,3737,3731,46,47
163,163,2,3730,3740,47,48
204,204,2,3731,3741,47,48
152,152,2,3741,3745,48,49
214,214,2,3740,3744,48,49
226,226,3,3706,3701,39,40
224,224,3,3701,3696,40,41
221,221,3,3696,3720,41,42
222,222,3,3720,3714,42,43
225,225,3,3714,3724,43,45
223,223,3,3724,3732,45,46
228,228,3,3732,3728,46,47
227,227,3,3728,3738,47,48
229,229,3,3738,3742,48,49
