index,EDGE_ID,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,SOURCE_FRAME,TARGET_FRAME,FRAME_DIFF,SPOT_SOURCE_DIFF,SPOT_TARGET_DIFF,EVENT
68,68,0,3523,3532,0,1,,,,None
43,43,0,3532,3503,1,2,1.0,9.0,-29.0,None
27,27,0,3503,3519,2,3,1.0,-29.0,16.0,None
44,44,0,3519,3507,3,4,1.0,16.0,-12.0,None
71,71,0,3507,3528,4,5,1.0,-12.0,21.0,None
72,72,0,3528,3515,5,6,1.0,21.0,-13.0,None
18,18,0,3515,3511,6,7,1.0,-13.0,-4.0,None
63,63,0,3511,3547,7,8,1.0,-4.0,36.0,None
12,12,0,3547,3536,8,9,1.0,36.0,-11.0,split
26,26,0,3547,3537,8,9,0.0,0.0,1.0,None
36,36,0,3537,3549,9,10,1.0,-10.0,12.0,None
56,56,0,3536,3552,9,10,0.0,-1.0,3.0,None
13,13,0,3552,3567,10,11,1.0,16.0,15.0,None
53,53,0,3549,3566,10,11,0.0,-3.0,-1.0,None
11,11,0,3567,3557,11,12,1.0,18.0,-9.0,None
50,50,0,3566,3556,11,12,0.0,-1.0,-1.0,None
7,7,0,3556,3542,12,13,1.0,-10.0,-14.0,None
55,55,0,3557,3543,12,13,0.0,1.0,1.0,None
59,59,0,3542,3561,13,14,1.0,-15.0,18.0,None
66,66,0,3543,3562,13,14,0.0,1.0,1.0,None
6,6,0,3562,3579,14,15,1.0,19.0,17.0,None
9,9,0,3561,3578,14,15,0.0,-1.0,-1.0,None
19,19,0,3579,3573,15,16,1.0,18.0,-5.0,None
40,40,0,3578,3571,15,16,0.0,-1.0,-2.0,split
67,67,0,3578,3572,15,16,0.0,0.0,1.0,None
20,20,0,3571,3589,16,17,1.0,-7.0,17.0,None
23,23,0,3573,3591,16,17,0.0,2.0,2.0,None
32,32,0,3572,3590,16,17,0.0,-1.0,-1.0,None
38,38,0,3591,3615,17,18,1.0,19.0,25.0,None
42,42,0,3590,3614,17,18,0.0,-1.0,-1.0,None
60,60,0,3589,3613,17,18,0.0,-1.0,-1.0,None
1,1,0,3614,3596,18,19,1.0,25.0,-17.0,None
14,14,0,3613,3595,18,19,0.0,-1.0,-1.0,None
48,48,0,3615,3597,18,19,0.0,2.0,2.0,None
57,57,0,3595,3583,19,20,1.0,-20.0,-14.0,None
61,61,0,3597,3585,19,20,0.0,2.0,2.0,None
70,70,0,3596,3584,19,20,0.0,-1.0,-1.0,None
51,51,0,3585,3632,20,21,1.0,-11.0,48.0,None
54,54,0,3583,3630,20,21,0.0,-2.0,-2.0,None
58,58,0,3584,3631,20,21,0.0,1.0,1.0,None
17,17,0,3632,3603,21,22,1.0,48.0,-28.0,None
28,28,0,3631,3602,21,22,0.0,-1.0,-1.0,None
65,65,0,3630,3601,21,22,0.0,-1.0,-1.0,None
4,4,0,3603,3678,22,23,1.0,-27.0,77.0,None
33,33,0,3601,3676,22,23,0.0,-2.0,-2.0,None
49,49,0,3602,3677,22,23,0.0,1.0,1.0,None
25,25,0,3677,3608,23,24,1.0,75.0,-69.0,None
37,37,0,3676,3607,23,24,0.0,-1.0,-1.0,None
62,62,0,3678,3609,23,24,0.0,2.0,2.0,None
15,15,0,3609,3626,24,25,1.0,-69.0,17.0,None
21,21,0,3608,3625,24,25,0.0,-1.0,-1.0,None
45,45,0,3607,3624,24,25,0.0,-1.0,-1.0,None
10,10,0,3626,3638,25,26,1.0,19.0,14.0,None
29,29,0,3624,3636,25,26,0.0,-2.0,-2.0,None
47,47,0,3625,3637,25,26,0.0,1.0,1.0,None
16,16,0,3636,3619,26,27,1.0,11.0,-18.0,None
24,24,0,3638,3620,26,27,0.0,2.0,1.0,merge
64,64,0,3637,3620,26,27,0.0,-1.0,0.0,None
8,8,0,3620,3665,27,28,1.0,-17.0,45.0,None
69,69,0,3619,3664,27,28,0.0,-1.0,-1.0,None
39,39,0,3664,3646,28,29,1.0,45.0,-18.0,None
41,41,0,3665,3647,28,29,0.0,1.0,1.0,None
34,34,0,3647,3642,29,30,1.0,-18.0,-5.0,None
22,22,0,3642,3651,30,31,1.0,-5.0,9.0,None
35,35,0,3651,3656,31,32,1.0,9.0,5.0,None
5,5,0,3656,3683,32,33,1.0,5.0,27.0,None
31,31,0,3683,3660,33,34,1.0,27.0,-23.0,None
2,2,0,3660,3691,34,35,1.0,-23.0,31.0,None
30,30,0,3691,3669,35,36,1.0,31.0,-22.0,None
3,3,0,3669,3673,36,37,1.0,-22.0,4.0,None
52,52,0,3673,3687,37,38,1.0,4.0,14.0,None
0,0,0,3687,3709,38,39,1.0,14.0,22.0,None
46,46,0,3709,3704,39,40,1.0,22.0,-5.0,None
73,73,0,3704,3700,40,41,1.0,-5.0,-4.0,None
81,81,1,3524,3533,0,1,,,,None
88,88,1,3533,3504,1,2,1.0,9.0,-29.0,None
78,78,1,3504,3520,2,3,1.0,-29.0,16.0,None
109,109,1,3520,3508,3,4,1.0,16.0,-12.0,None
82,82,1,3508,3529,4,5,1.0,-12.0,21.0,None
90,90,1,3529,3516,5,6,1.0,21.0,-13.0,None
96,96,1,3516,3512,6,7,1.0,-13.0,-4.0,None
86,86,1,3512,3548,7,8,1.0,-4.0,36.0,None
106,106,1,3548,3539,8,9,1.0,36.0,-9.0,None
98,98,1,3539,3553,9,10,1.0,-9.0,14.0,None
122,122,1,3553,3568,10,11,1.0,14.0,15.0,None
95,95,1,3568,3558,11,12,1.0,15.0,-10.0,None
79,79,1,3558,3544,12,13,1.0,-10.0,-14.0,None
116,116,1,3544,3563,13,14,1.0,-14.0,19.0,None
119,119,1,3563,3580,14,15,1.0,19.0,17.0,None
99,99,1,3580,3574,15,16,1.0,17.0,-6.0,None
92,92,1,3574,3592,16,17,1.0,-6.0,18.0,None
89,89,1,3592,3616,17,18,1.0,18.0,24.0,None
112,112,1,3616,3598,18,19,1.0,24.0,-18.0,None
91,91,1,3598,3586,19,20,1.0,-18.0,-12.0,None
110,110,1,3586,3633,20,21,1.0,-12.0,47.0,None
83,83,1,3633,3604,21,22,1.0,47.0,-29.0,None
115,115,1,3604,3679,22,23,1.0,-29.0,75.0,None
118,118,1,3679,3610,23,24,1.0,75.0,-69.0,None
101,101,1,3610,3627,24,25,1.0,-69.0,17.0,None
114,114,1,3627,3639,25,26,1.0,17.0,12.0,None
76,76,1,3639,3621,26,27,1.0,12.0,-18.0,None
100,100,1,3621,3666,27,28,1.0,-18.0,45.0,None
75,75,1,3666,3648,28,29,1.0,45.0,-18.0,None
121,121,1,3648,3643,29,30,1.0,-18.0,-5.0,None
74,74,1,3643,3652,30,31,1.0,-5.0,9.0,None
77,77,1,3652,3657,31,32,1.0,9.0,5.0,None
94,94,1,3657,3684,32,33,1.0,5.0,27.0,None
104,104,1,3684,3661,33,34,1.0,27.0,-23.0,None
103,103,1,3661,3692,34,35,1.0,-23.0,31.0,None
107,107,1,3692,3670,35,36,1.0,31.0,-22.0,None
84,84,1,3670,3674,36,37,1.0,-22.0,4.0,None
80,80,1,3674,3688,37,38,1.0,4.0,14.0,None
113,113,1,3688,3707,38,39,1.0,14.0,19.0,None
108,108,1,3707,3702,39,40,1.0,19.0,-5.0,None
87,87,1,3702,3697,40,41,1.0,-5.0,-5.0,None
93,93,1,3697,3721,41,42,1.0,-5.0,24.0,None
85,85,1,3721,3716,42,43,1.0,24.0,-5.0,None
105,105,1,3716,3711,43,44,1.0,-5.0,-5.0,None
111,111,1,3711,3725,44,45,1.0,-5.0,14.0,None
117,117,1,3725,3734,45,46,1.0,14.0,9.0,None
102,102,1,3734,3729,46,47,1.0,9.0,-5.0,None
120,120,1,3729,3739,47,48,1.0,-5.0,10.0,None
97,97,1,3739,3743,48,49,1.0,10.0,4.0,None
171,171,2,3525,3534,0,1,,,,None
172,172,2,3526,3535,0,1,0.0,1.0,1.0,None
181,181,2,3535,3506,1,2,1.0,9.0,-29.0,None
203,203,2,3534,3505,1,2,0.0,-1.0,-1.0,None
126,126,2,3506,3522,2,3,1.0,-28.0,17.0,None
191,191,2,3505,3521,2,3,0.0,-1.0,-1.0,None
198,198,2,3521,3509,3,4,1.0,16.0,-12.0,None
199,199,2,3522,3510,3,4,0.0,1.0,1.0,None
165,165,2,3509,3530,4,5,1.0,-13.0,20.0,None
185,185,2,3510,3531,4,5,0.0,1.0,1.0,None
134,134,2,3531,3518,5,6,1.0,21.0,-13.0,None
166,166,2,3530,3517,5,6,0.0,-1.0,-1.0,None
128,128,2,3517,3513,6,7,1.0,-13.0,-4.0,None
193,193,2,3518,3514,6,7,0.0,1.0,1.0,None
180,180,2,3514,3551,7,8,1.0,-4.0,37.0,None
215,215,2,3513,3550,7,8,0.0,-1.0,-1.0,None
130,130,2,3550,3540,8,9,1.0,37.0,-10.0,None
213,213,2,3551,3541,8,9,0.0,1.0,1.0,None
146,146,2,3541,3555,9,10,1.0,-10.0,14.0,None
217,217,2,3540,3554,9,10,0.0,-1.0,-1.0,None
196,196,2,3554,3569,10,11,1.0,14.0,15.0,None
220,220,2,3555,3570,10,11,0.0,1.0,1.0,None
138,138,2,3570,3560,11,12,1.0,15.0,-10.0,None
218,218,2,3569,3559,11,12,0.0,-1.0,-1.0,None
212,212,2,3560,3546,12,13,1.0,-9.0,-13.0,None
216,216,2,3559,3545,12,13,0.0,-1.0,-1.0,None
151,151,2,3545,3564,13,14,1.0,-14.0,19.0,None
155,155,2,3546,3565,13,14,0.0,1.0,1.0,None
149,149,2,3565,3582,14,15,1.0,19.0,17.0,None
200,200,2,3564,3581,14,15,0.0,-1.0,-1.0,None
131,131,2,3581,3575,15,16,1.0,17.0,-6.0,None
143,143,2,3582,3576,15,16,0.0,1.0,1.0,None
176,176,2,3576,3594,16,17,1.0,-6.0,18.0,None
201,201,2,3575,3593,16,17,0.0,-1.0,-1.0,None
142,142,2,3594,3618,17,18,1.0,19.0,25.0,None
177,177,2,3593,3617,17,18,0.0,-1.0,-1.0,None
174,174,2,3617,3599,18,19,1.0,24.0,-18.0,None
189,189,2,3618,3600,18,19,0.0,1.0,1.0,None
157,157,2,3600,3588,19,20,1.0,-18.0,-12.0,None
159,159,2,3599,3587,19,20,0.0,-1.0,-1.0,None
135,135,2,3588,3635,20,21,1.0,-11.0,48.0,None
178,178,2,3587,3634,20,21,0.0,-1.0,-1.0,None
123,123,2,3634,3605,21,22,1.0,47.0,-29.0,None
160,160,2,3635,3606,21,22,0.0,1.0,1.0,None
153,153,2,3605,3680,22,23,1.0,-30.0,74.0,None
170,170,2,3606,3681,22,23,0.0,1.0,1.0,None
164,164,2,3680,3611,23,24,1.0,74.0,-70.0,None
208,208,2,3681,3612,23,24,0.0,1.0,1.0,None
183,183,2,3612,3629,24,25,1.0,-69.0,17.0,None
195,195,2,3611,3628,24,25,0.0,-1.0,-1.0,None
132,132,2,3628,3640,25,26,1.0,17.0,12.0,None
148,148,2,3629,3641,25,26,0.0,1.0,1.0,None
192,192,2,3640,3622,26,27,1.0,11.0,-19.0,None
205,205,2,3641,3623,26,27,0.0,1.0,1.0,None
136,136,2,3622,3667,27,28,1.0,-19.0,44.0,None
168,168,2,3623,3668,27,28,0.0,1.0,1.0,None
147,147,2,3667,3649,28,29,1.0,44.0,-19.0,None
162,162,2,3668,3650,28,29,0.0,1.0,1.0,None
129,129,2,3650,3645,29,30,1.0,-18.0,-5.0,None
202,202,2,3649,3644,29,30,0.0,-1.0,-1.0,None
144,144,2,3645,3654,30,31,1.0,-4.0,10.0,None
169,169,2,3644,3653,30,31,0.0,-1.0,-1.0,None
158,158,2,3653,3658,31,32,1.0,9.0,5.0,None
167,167,2,3654,3659,31,32,0.0,1.0,1.0,None
141,141,2,3658,3685,32,33,1.0,4.0,26.0,None
219,219,2,3659,3686,32,33,0.0,1.0,1.0,None
133,133,2,3686,3663,33,34,1.0,27.0,-23.0,None
182,182,2,3685,3662,33,34,0.0,-1.0,-1.0,None
154,154,2,3662,3693,34,35,1.0,-23.0,31.0,None
188,188,2,3663,3694,34,35,0.0,1.0,1.0,None
206,206,2,3693,3671,35,36,1.0,30.0,-23.0,None
210,210,2,3694,3672,35,36,0.0,1.0,1.0,None
187,187,2,3672,3675,36,37,1.0,-22.0,3.0,merge
190,190,2,3671,3675,36,37,0.0,-1.0,0.0,None
125,125,2,3675,3690,37,38,1.0,4.0,15.0,split
194,194,2,3675,3689,37,38,0.0,0.0,-1.0,None
124,124,2,3689,3708,38,39,1.0,14.0,19.0,None
211,211,2,3690,3710,38,39,0.0,1.0,2.0,None
145,145,2,3710,3705,39,40,1.0,20.0,-5.0,None
179,179,2,3708,3703,39,40,0.0,-2.0,-2.0,None
173,173,2,3703,3698,40,41,1.0,-5.0,-5.0,None
209,209,2,3705,3699,40,41,0.0,2.0,1.0,None
150,150,2,3699,3723,41,42,1.0,-6.0,24.0,None
156,156,2,3698,3722,41,42,0.0,-1.0,-1.0,None
161,161,2,3722,3717,42,43,1.0,24.0,-5.0,None
175,175,2,3723,3718,42,43,0.0,1.0,1.0,None
127,127,2,3717,3712,43,44,1.0,-6.0,-6.0,None
197,197,2,3718,3713,43,44,0.0,1.0,1.0,None
186,186,2,3713,3727,44,45,1.0,-5.0,14.0,None
207,207,2,3712,3726,44,45,0.0,-1.0,-1.0,None
137,137,2,3727,3737,45,46,1.0,15.0,11.0,None
140,140,2,3726,3735,45,46,0.0,-1.0,-2.0,None
139,139,2,3735,3730,46,47,1.0,9.0,-5.0,None
184,184,2,3737,3731,46,47,0.0,2.0,1.0,None
163,163,2,3730,3740,47,48,1.0,-7.0,9.0,None
204,204,2,3731,3741,47,48,0.0,1.0,1.0,None
152,152,2,3741,3745,48,49,1.0,10.0,4.0,None
214,214,2,3740,3744,48,49,0.0,-1.0,-1.0,None
226,226,3,3706,3701,39,40,,,,None
224,224,3,3701,3696,40,41,1.0,-5.0,-5.0,None
221,221,3,3696,3720,41,42,1.0,-5.0,24.0,None
222,222,3,3720,3714,42,43,1.0,24.0,-6.0,None
225,225,3,3714,3724,43,45,1.0,-6.0,10.0,gap
223,223,3,3724,3732,45,46,2.0,10.0,8.0,None
228,228,3,3732,3728,46,47,1.0,8.0,-4.0,None
227,227,3,3728,3738,47,48,1.0,-4.0,10.0,None
229,229,3,3738,3742,48,49,1.0,10.0,4.0,
